Timestamp,ActiveDevices,ActiveActors,Anomalies,Debug
00:26:45,cooker_1,stressed_worker:cook_breakfast,,
00:27:00,cooker_1,stressed_worker:cook_breakfast,,
00:27:15,cooker_1,stressed_worker:cook_breakfast,,
00:27:30,cooker_1,stressed_worker:cook_breakfast,,
00:27:45,cooker_1,stressed_worker:cook_breakfast,,
00:28:00,cooker_1,stressed_worker:cook_breakfast,,
00:28:15,cooker_1,stressed_worker:cook_breakfast,,
00:28:30,cooker_1,stressed_worker:cook_breakfast,,
00:28:45,cooker_1,stressed_worker:cook_breakfast,,
00:29:00,cooker_1,stressed_worker:cook_breakfast,,
00:29:15,cooker_1,stressed_worker:cook_breakfast,,
00:29:30,cooker_1,stressed_worker:cook_breakfast,,
00:29:45,cooker_1,stressed_worker:cook_breakfast,,
00:30:00,cooker_1,stressed_worker:cook_breakfast,,
00:30:15,cooker_1,stressed_worker:cook_breakfast,,
00:30:30,cooker_1,stressed_worker:cook_breakfast,,
00:30:45,cooker_1,stressed_worker:cook_breakfast,,
00:31:00,,,,"[stressed_worker] Meters(energy:47.9, hunger:100.0, hygiene:100.0, work_duty:49.9, ) | Roulette Chose: sleep_in_bed | Max Was: 5.2"
00:31:15,,stressed_worker:sleep_in_bed,,
00:31:30,,stressed_worker:sleep_in_bed,,
00:31:45,,stressed_worker:sleep_in_bed,,
00:32:00,,stressed_worker:sleep_in_bed,,
00:32:15,,stressed_worker:sleep_in_bed,,
00:32:30,,stressed_worker:sleep_in_bed,,
00:32:45,,stressed_worker:sleep_in_bed,,
00:33:00,,stressed_worker:sleep_in_bed,,
00:33:15,,stressed_worker:sleep_in_bed,,
00:33:30,,stressed_worker:sleep_in_bed,,
00:33:45,,stressed_worker:sleep_in_bed,,
00:34:00,,stressed_worker:sleep_in_bed,,
00:34:15,,stressed_worker:sleep_in_bed,,
00:34:30,,stressed_worker:sleep_in_bed,,
00:34:45,,stressed_worker:sleep_in_bed,,
00:35:00,,stressed_worker:sleep_in_bed,,
