Timestamp,ActiveDevices,ActiveActors,Anomalies,Debug
00:08:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:99.4, energy:29.4, hunger:94.8, hygiene:89.3, leisure:79.0, "
00:08:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.4, hunger:94.7, hygiene:89.3, leisure:79.0, work_duty:99.4, "
00:09:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:89.3, leisure:79.0, work_duty:99.4, energy:29.4, hunger:94.7, "
00:09:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:99.4, energy:29.3, hunger:94.6, hygiene:89.2, leisure:78.9, "
00:09:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.6, hygiene:89.2, leisure:78.9, work_duty:99.3, "
00:09:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.6, hygiene:89.2, leisure:78.9, work_duty:99.3, "
00:10:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:89.2, leisure:78.9, work_duty:99.3, energy:29.3, hunger:94.5, "
00:10:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.5, hygiene:89.1, leisure:78.8, work_duty:99.3, "
00:10:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.5, hygiene:89.1, leisure:78.8, work_duty:99.3, "
00:10:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:78.8, work_duty:99.3, energy:29.3, hunger:94.4, hygiene:89.1, "
00:11:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:94.4, hygiene:89.1, leisure:78.8, work_duty:99.2, energy:29.3, "
00:11:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:94.4, hygiene:89.1, leisure:78.7, work_duty:99.2, energy:29.3, "
00:11:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:94.3, hygiene:89.0, leisure:78.7, work_duty:99.2, energy:29.3, "
00:11:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.3, hygiene:89.0, leisure:78.7, work_duty:99.2, "
00:12:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.2, hygiene:89.0, leisure:78.6, work_duty:99.2, "
00:12:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:94.2, hygiene:89.0, leisure:78.6, work_duty:99.1, "
